"filename", "language", "Dart", "comment", "blank", "total"
"/home/angelo/Dev/Flutter/git_tees_shop/lib/core/database_api.dart", "Dart", 59, 4, 15, 78
"/home/angelo/Dev/Flutter/git_tees_shop/lib/core/pdf_utils.dart", "Dart", 198, 0, 8, 206
"/home/angelo/Dev/Flutter/git_tees_shop/lib/core/providers_definition.dart", "Dart", 61, 0, 20, 81
"/home/angelo/Dev/Flutter/git_tees_shop/lib/core/utilites.dart", "Dart", 198, 1, 22, 221
"/home/angelo/Dev/Flutter/git_tees_shop/lib/data_classes/cart_product.dart", "Dart", 30, 0, 8, 38
"/home/angelo/Dev/Flutter/git_tees_shop/lib/data_classes/tshirt.dart", "Dart", 91, 0, 12, 103
"/home/angelo/Dev/Flutter/git_tees_shop/lib/data_classes/voucher_data.dart", "Dart", 13, 0, 2, 15
"/home/angelo/Dev/Flutter/git_tees_shop/lib/data_providers/cart_product_provider.dart", "Dart", 79, 0, 23, 102
"/home/angelo/Dev/Flutter/git_tees_shop/lib/data_providers/checkout_provider.dart", "Dart", 15, 0, 5, 20
"/home/angelo/Dev/Flutter/git_tees_shop/lib/main.dart", "Dart", 35, 0, 6, 41
"/home/angelo/Dev/Flutter/git_tees_shop/lib/screens/checkout_page.dart", "Dart", 59, 0, 5, 64
"/home/angelo/Dev/Flutter/git_tees_shop/lib/screens/enter_local_ip_page.dart", "Dart", 67, 0, 6, 73
"/home/angelo/Dev/Flutter/git_tees_shop/lib/screens/home_page.dart", "Dart", 64, 0, 4, 68
"/home/angelo/Dev/Flutter/git_tees_shop/lib/screens/scan_page.dart", "Dart", 96, 0, 7, 103
"/home/angelo/Dev/Flutter/git_tees_shop/lib/screens/select_voucher_screen.dart", "Dart", 106, 0, 8, 114
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/cart_list_tile.dart", "Dart", 83, 0, 5, 88
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/checkout_bottom_bar.dart", "Dart", 110, 0, 14, 124
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/checkout_list_tile.dart", "Dart", 67, 0, 4, 71
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/home_bottom_bar.dart", "Dart", 117, 0, 10, 127
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/mode_of_payment_tile.dart", "Dart", 66, 0, 5, 71
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/purchase_details.dart", "Dart", 64, 0, 4, 68
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/quantity_toggle.dart", "Dart", 27, 0, 4, 31
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/selected_voucher_tile.dart", "Dart", 68, 0, 5, 73
"/home/angelo/Dev/Flutter/git_tees_shop/lib/widgets/store_info_tile.dart", "Dart", 57, 0, 4, 61
"Total", "-", 1830, 5, 206, 2041